team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,GALATASARAY MCT TECHNIC,1.0,94.0,"[70, 102, 103, 104, 105]",5,70|102|103|104|105,"['1:70', '1:102', '1:103', '1:104', '1:105']","['R. Öncel', 'E. Mc Collum', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie Ii']",1:70|1:102|1:103|1:104|1:105,Unknownx5,1,10:00:00,1,02:53:00,0,0,14,17
1,GALATASARAY MCT TECHNIC,94.1,120.0,"[101, 103, 104, 108, 109]",5,101|103|104|108|109,"['1:101', '1:103', '1:104', '1:108', '1:109']","['T. Görener', 'J. Palmer Jr', 'F. White Jr', 'C. Bishop', 'W. Cummings']",1:101|1:103|1:104|1:108|1:109,Unknownx5,1,02:53:00,1,02:11:00,14,17,16,17
1,GALATASARAY MCT TECHNIC,120.1,194.0,"[101, 103, 107, 108, 109]",5,101|103|107|108|109,"['1:101', '1:103', '1:107', '1:108', '1:109']","['T. Görener', 'J. Palmer Jr', 'R. Meeks', 'C. Bishop', 'W. Cummings']",1:101|1:103|1:107|1:108|1:109,Unknownx5,1,02:11:00,2,07:28:00,16,17,27,28
1,GALATASARAY MCT TECHNIC,194.1,262.0,"[99, 102, 103, 107, 109]",5,99|102|103|107|109,"['1:99', '1:102', '1:103', '1:107', '1:109']","['M. Yasar', 'E. Mc Collum', 'J. Palmer Jr', 'R. Meeks', 'W. Cummings']",1:99|1:102|1:103|1:107|1:109,Unknownx5,2,07:28:00,2,03:14:00,27,28,42,35
1,GALATASARAY MCT TECHNIC,262.1,279.0,"[99, 102, 104, 107, 109]",5,99|102|104|107|109,"['1:99', '1:102', '1:104', '1:107', '1:109']","['M. Yasar', 'E. Mc Collum', 'F. White Jr', 'R. Meeks', 'W. Cummings']",1:99|1:102|1:104|1:107|1:109,Unknownx5,2,03:14:00,2,02:03:00,42,35,45,38
1,GALATASARAY MCT TECHNIC,279.1,292.0,"[99, 102, 103, 104, 109]",5,99|102|103|104|109,"['1:99', '1:102', '1:103', '1:104', '1:109']","['M. Yasar', 'E. Mc Collum', 'J. Palmer Jr', 'F. White Jr', 'W. Cummings']",1:99|1:102|1:103|1:104|1:109,Unknownx5,2,02:03:00,2,01:37:00,45,38,48,38
1,GALATASARAY MCT TECHNIC,292.1,306.0,"[70, 99, 102, 103, 104]",5,70|99|102|103|104,"['1:70', '1:99', '1:102', '1:103', '1:104']","['R. Öncel', 'M. Yasar', 'E. Mc Collum', 'J. Palmer Jr', 'F. White Jr']",1:70|1:99|1:102|1:103|1:104,Unknownx5,2,01:37:00,2,00:42:90,48,38,48,40
1,GALATASARAY MCT TECHNIC,306.1,333.0,"[101, 102, 103, 108, 109]",5,101|102|103|108|109,"['1:101', '1:102', '1:103', '1:108', '1:109']","['T. Görener', 'E. Mc Collum', 'J. Palmer Jr', 'C. Bishop', 'W. Cummings']",1:101|1:102|1:103|1:108|1:109,Unknownx5,2,00:42:90,2,00:18:00,48,40,49,42
1,GALATASARAY MCT TECHNIC,333.1,342.0,"[70, 101, 103, 107, 108]",5,70|101|103|107|108,"['1:70', '1:101', '1:103', '1:107', '1:108']","['R. Öncel', 'T. Görener', 'J. Palmer Jr', 'R. Meeks', 'C. Bishop']",1:70|1:101|1:103|1:107|1:108,Unknownx5,2,00:18:00,2,00:11:00,49,42,49,42
1,GALATASARAY MCT TECHNIC,342.1,355.0,"[70, 101, 107, 108, 109]",5,70|101|107|108|109,"['1:70', '1:101', '1:107', '1:108', '1:109']","['R. Öncel', 'T. Görener', 'R. Meeks', 'C. Bishop', 'W. Cummings']",1:70|1:101|1:107|1:108|1:109,Unknownx5,2,00:11:00,3,10:00:00,49,42,49,42
