team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,1.0,61.0,"[5, 8, 12, 13, 21]",5|8|12|13|21,11,11,12,2,13,-11,18.181818181818183,108.33333333333333,1,10:00:00,1,05:51:00,0,0,2,13,Unknownx5,5,5|8|12|13|21,1:5|1:8|1:12|1:13|1:21,"[5, 8, 12, 13, 21]","['1:5', '1:8', '1:12', '1:13', '1:21']","['M. Agva', 'H. Vanwijn', 'M. Cazalon', 'J. Hawkins', 'K. Smith Jr']",YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET
1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,61.1,94.0,"[5, 8, 11, 12, 21]",5|8|11|12|21,8,8,8,8,12,-4,100.0,150.0,1,05:51:00,1,02:31:00,2,13,10,25,Unknownx5,5,5|8|11|12|21,1:5|1:8|1:11|1:12|1:21,"[5, 8, 11, 12, 21]","['1:5', '1:8', '1:11', '1:12', '1:21']","['M. Agva', 'H. Vanwijn', 'S. Griffin', 'M. Cazalon', 'K. Smith Jr']",YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET
1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,94.1,144.0,"[7, 8, 9, 11, 79]",7|8|9|11|79,7,7,7,1,3,-2,14.285714285714286,42.857142857142854,1,02:31:00,1,00:04:70,10,25,11,28,Unknownx5,5,7|8|9|11|79,1:7|1:8|1:9|1:11|1:79,"[7, 8, 9, 11, 79]","['1:7', '1:8', '1:9', '1:11', '1:79']","['Ö. Ilyasoglu', 'H. Vanwijn', 'R. Badzim', 'S. Griffin', 'A. Omic']",YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET
1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,144.1,156.0,"[7, 8, 9, 11, 13]",7|8|9|11|13,0,0,0,0,0,0,,,1,00:04:70,2,10:00:00,11,28,11,28,Unknownx5,5,7|8|9|11|13,1:7|1:8|1:9|1:11|1:13,"[7, 8, 9, 11, 13]","['1:7', '1:8', '1:9', '1:11', '1:13']","['Ö. Ilyasoglu', 'H. Vanwijn', 'R. Badzim', 'S. Griffin', 'J. Hawkins']",YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET
1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,156.1,229.0,"[3, 7, 9, 11, 79]",3|7|9|11|79,11,11,11,7,8,-1,63.63636363636363,72.72727272727273,2,10:00:00,2,05:58:00,11,28,18,36,Unknownx5,5,3|7|9|11|79,1:3|1:7|1:9|1:11|1:79,"[3, 7, 9, 11, 79]","['1:3', '1:7', '1:9', '1:11', '1:79']","['E. Tanisan', 'Ö. Ilyasoglu', 'R. Badzim', 'S. Griffin', 'A. Omic']",YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET
1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,229.1,240.0,"[3, 9, 11, 21, 79]",3|9|11|21|79,1,1,1,0,0,0,0.0,0.0,2,05:58:00,2,05:47:00,18,36,18,36,Unknownx5,5,3|9|11|21|79,1:3|1:9|1:11|1:21|1:79,"[3, 9, 11, 21, 79]","['1:3', '1:9', '1:11', '1:21', '1:79']","['E. Tanisan', 'R. Badzim', 'S. Griffin', 'K. Smith Jr', 'A. Omic']",YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET
1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,240.1,248.0,"[3, 11, 12, 21, 79]",3|11|12|21|79,2,2,2,0,0,0,0.0,0.0,2,05:47:00,2,05:12:00,18,36,18,36,Unknownx5,5,3|11|12|21|79,1:3|1:11|1:12|1:21|1:79,"[3, 11, 12, 21, 79]","['1:3', '1:11', '1:12', '1:21', '1:79']","['E. Tanisan', 'S. Griffin', 'M. Cazalon', 'K. Smith Jr', 'A. Omic']",YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET
1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,248.1,260.0,"[3, 5, 11, 12, 21]",3|5|11|12|21,0,0,1,2,0,2,,0.0,2,05:12:00,2,05:00:00,18,36,20,36,Unknownx5,5,3|5|11|12|21,1:3|1:5|1:11|1:12|1:21,"[3, 5, 11, 12, 21]","['1:3', '1:5', '1:11', '1:12', '1:21']","['E. Tanisan', 'M. Agva', 'S. Griffin', 'M. Cazalon', 'K. Smith Jr']",YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET
1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,260.1,325.0,"[5, 8, 11, 12, 21]",5|8|11|12|21,12,12,12,11,5,6,91.66666666666667,41.666666666666664,2,05:00:00,2,02:05:00,20,36,31,41,Unknownx5,5,5|8|11|12|21,1:5|1:8|1:11|1:12|1:21,"[5, 8, 11, 12, 21]","['1:5', '1:8', '1:11', '1:12', '1:21']","['M. Agva', 'H. Vanwijn', 'S. Griffin', 'M. Cazalon', 'K. Smith Jr']",YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET
1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,325.1,366.0,"[5, 8, 9, 11, 21]",5|8|9|11|21,3,3,3,3,0,3,100.0,0.0,2,02:05:00,2,00:05:70,31,41,34,41,Unknownx5,5,5|8|9|11|21,1:5|1:8|1:9|1:11|1:21,"[5, 8, 9, 11, 21]","['1:5', '1:8', '1:9', '1:11', '1:21']","['M. Agva', 'H. Vanwijn', 'R. Badzim', 'S. Griffin', 'K. Smith Jr']",YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET
