team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,ESENLER EROKSPOR,1.0,94.0,"[20, 24, 25, 26, 27]",5,20|24|25|26|27,"['1:20', '1:24', '1:25', '1:26', '1:27']","['E. Arna', 'P. Cornelie', 'L. Galloway', 'J. Crawford', 'J. Simmons']",1:20|1:24|1:25|1:26|1:27,Unknownx5,1,10:00:00,1,04:11:00,0,0,11,8
1,ESENLER EROKSPOR,94.1,127.0,"[15, 24, 25, 27, 60]",5,15|24|25|27|60,"['1:15', '1:24', '1:25', '1:27', '1:60']","['T. Akyazili', 'P. Cornelie', 'L. Galloway', 'J. Simmons', 'K. Pangos']",1:15|1:24|1:25|1:27|1:60,Unknownx5,1,04:11:00,1,02:43:00,11,8,11,12
1,ESENLER EROKSPOR,127.1,143.0,"[20, 24, 27, 28, 60]",5,20|24|27|28|60,"['1:20', '1:24', '1:27', '1:28', '1:60']","['E. Arna', 'P. Cornelie', 'J. Simmons', 'J. Love', 'K. Pangos']",1:20|1:24|1:27|1:28|1:60,Unknownx5,1,02:43:00,1,02:01:00,11,12,13,12
1,ESENLER EROKSPOR,143.1,166.0,"[20, 22, 27, 28, 60]",5,20|22|27|28|60,"['1:20', '1:22', '1:27', '1:28', '1:60']","['E. Arna', 'T. Thurman', 'J. Simmons', 'J. Love', 'K. Pangos']",1:20|1:22|1:27|1:28|1:60,Unknownx5,1,02:01:00,1,00:55:80,13,12,16,13
1,ESENLER EROKSPOR,166.1,221.0,"[19, 20, 22, 28, 60]",5,19|20|22|28|60,"['1:19', '1:20', '1:22', '1:28', '1:60']","['A. Duverioglu', 'E. Arna', 'T. Thurman', 'J. Love', 'K. Pangos']",1:19|1:20|1:22|1:28|1:60,Unknownx5,1,00:55:80,2,08:30:00,16,13,22,20
1,ESENLER EROKSPOR,221.1,237.0,"[19, 20, 22, 25, 60]",5,19|20|22|25|60,"['1:19', '1:20', '1:22', '1:25', '1:60']","['A. Duverioglu', 'E. Arna', 'T. Thurman', 'L. Galloway', 'K. Pangos']",1:19|1:20|1:22|1:25|1:60,Unknownx5,2,08:30:00,2,07:30:00,22,20,24,20
1,ESENLER EROKSPOR,237.1,276.0,"[19, 20, 22, 25, 26]",5,19|20|22|25|26,"['1:19', '1:20', '1:22', '1:25', '1:26']","['A. Duverioglu', 'E. Arna', 'T. Thurman', 'L. Galloway', 'J. Crawford']",1:19|1:20|1:22|1:25|1:26,Unknownx5,2,07:30:00,2,05:32:00,24,20,30,21
1,ESENLER EROKSPOR,276.1,288.0,"[19, 21, 22, 25, 26]",5,19|21|22|25|26,"['1:19', '1:21', '1:22', '1:25', '1:26']","['A. Duverioglu', 'E. Gazi', 'T. Thurman', 'L. Galloway', 'J. Crawford']",1:19|1:21|1:22|1:25|1:26,Unknownx5,2,05:32:00,2,05:12:00,30,21,30,23
1,ESENLER EROKSPOR,288.1,336.0,"[21, 22, 25, 26, 27]",5,21|22|25|26|27,"['1:21', '1:22', '1:25', '1:26', '1:27']","['E. Gazi', 'T. Thurman', 'L. Galloway', 'J. Crawford', 'J. Simmons']",1:21|1:22|1:25|1:26|1:27,Unknownx5,2,05:12:00,2,02:33:00,30,23,36,30
1,ESENLER EROKSPOR,336.1,372.0,"[20, 21, 24, 26, 27]",5,20|21|24|26|27,"['1:20', '1:21', '1:24', '1:26', '1:27']","['E. Arna', 'E. Gazi', 'P. Cornelie', 'J. Crawford', 'J. Simmons']",1:20|1:21|1:24|1:26|1:27,Unknownx5,2,02:33:00,2,00:44:80,36,30,39,31
