team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,ONVO BÜYÜKÇEKMECE BASKETBOL,1.0,81.0,"[5, 6, 10, 11, 13]",5|6|10|11|13,15,15,16,15,11,4,100.0,68.75,1,10:00:00,1,04:32:00,0,0,15,11,Unknownx5,5,5|6|10|11|13,1:5|1:6|1:10|1:11|1:13,"[5, 6, 10, 11, 13]","['1:5', '1:6', '1:10', '1:11', '1:13']","['J. Lecque', 'J. Johnson', 'M. Türen', 'M. Senli', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
1,ONVO BÜYÜKÇEKMECE BASKETBOL,81.1,125.0,"[5, 6, 7, 11, 13]",5|6|7|11|13,8,8,8,7,9,-2,87.5,112.5,1,04:32:00,1,01:36:00,15,11,22,20,Unknownx5,5,5|6|7|11|13,1:5|1:6|1:7|1:11|1:13,"[5, 6, 7, 11, 13]","['1:5', '1:6', '1:7', '1:11', '1:13']","['J. Lecque', 'J. Johnson', 'S. Pipes Jr', 'M. Senli', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
1,ONVO BÜYÜKÇEKMECE BASKETBOL,125.1,134.0,"[5, 7, 9, 12, 13]",5|7|9|12|13,0,0,1,0,0,0,,0.0,1,01:36:00,1,01:30:00,22,20,22,20,Unknownx5,5,5|7|9|12|13,1:5|1:7|1:9|1:12|1:13,"[5, 7, 9, 12, 13]","['1:5', '1:7', '1:9', '1:12', '1:13']","['J. Lecque', 'S. Pipes Jr', 'C. Turgut', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
1,ONVO BÜYÜKÇEKMECE BASKETBOL,134.1,158.0,"[7, 9, 10, 12, 13]",7|9|10|12|13,4,4,4,3,2,1,75.0,50.0,1,01:30:00,2,10:00:00,22,20,25,22,Unknownx5,5,7|9|10|12|13,1:7|1:9|1:10|1:12|1:13,"[7, 9, 10, 12, 13]","['1:7', '1:9', '1:10', '1:12', '1:13']","['S. Pipes Jr', 'C. Turgut', 'M. Türen', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
1,ONVO BÜYÜKÇEKMECE BASKETBOL,158.1,183.0,"[5, 7, 9, 10, 12]",5|7|9|10|12,5,5,5,5,7,-2,100.0,140.0,2,10:00:00,2,07:51:00,25,22,30,29,Unknownx5,5,5|7|9|10|12,1:5|1:7|1:9|1:10|1:12,"[5, 7, 9, 10, 12]","['1:5', '1:7', '1:9', '1:10', '1:12']","['J. Lecque', 'S. Pipes Jr', 'C. Turgut', 'M. Türen', 'A. Bandaogo']",ONVO BÜYÜKÇEKMECE BASKETBOL
1,ONVO BÜYÜKÇEKMECE BASKETBOL,183.1,202.0,"[5, 6, 10, 12, 13]",5|6|10|12|13,2,2,1,3,2,1,150.0,200.0,2,07:51:00,2,06:29:00,30,29,33,31,Unknownx5,5,5|6|10|12|13,1:5|1:6|1:10|1:12|1:13,"[5, 6, 10, 12, 13]","['1:5', '1:6', '1:10', '1:12', '1:13']","['J. Lecque', 'J. Johnson', 'M. Türen', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
1,ONVO BÜYÜKÇEKMECE BASKETBOL,202.1,225.0,"[5, 6, 10, 11, 13]",5|6|10|11|13,4,4,5,2,6,-4,50.0,120.0,2,06:29:00,2,04:55:00,33,31,35,37,Unknownx5,5,5|6|10|11|13,1:5|1:6|1:10|1:11|1:13,"[5, 6, 10, 11, 13]","['1:5', '1:6', '1:10', '1:11', '1:13']","['J. Lecque', 'J. Johnson', 'M. Türen', 'M. Senli', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
1,ONVO BÜYÜKÇEKMECE BASKETBOL,225.1,231.0,"[6, 7, 10, 11, 13]",6|7|10|11|13,0,0,0,0,0,0,,,2,04:55:00,2,04:38:00,35,37,35,37,Unknownx5,5,6|7|10|11|13,1:6|1:7|1:10|1:11|1:13,"[6, 7, 10, 11, 13]","['1:6', '1:7', '1:10', '1:11', '1:13']","['J. Johnson', 'S. Pipes Jr', 'M. Türen', 'M. Senli', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
1,ONVO BÜYÜKÇEKMECE BASKETBOL,231.1,267.0,"[6, 7, 8, 10, 11]",6|7|8|10|11,5,5,5,2,3,-1,40.0,60.0,2,04:38:00,2,02:43:00,35,37,37,40,Unknownx5,5,6|7|8|10|11,1:6|1:7|1:8|1:10|1:11,"[6, 7, 8, 10, 11]","['1:6', '1:7', '1:8', '1:10', '1:11']","['J. Johnson', 'S. Pipes Jr', 'Y. Özkan', 'M. Türen', 'M. Senli']",ONVO BÜYÜKÇEKMECE BASKETBOL
1,ONVO BÜYÜKÇEKMECE BASKETBOL,267.1,274.0,"[6, 7, 10, 11, 13]",6|7|10|11|13,1,1,0,0,2,-2,0.0,,2,02:43:00,2,02:27:00,37,40,37,42,Unknownx5,5,6|7|10|11|13,1:6|1:7|1:10|1:11|1:13,"[6, 7, 10, 11, 13]","['1:6', '1:7', '1:10', '1:11', '1:13']","['J. Johnson', 'S. Pipes Jr', 'M. Türen', 'M. Senli', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
1,ONVO BÜYÜKÇEKMECE BASKETBOL,274.1,290.0,"[6, 7, 10, 12, 13]",6|7|10|12|13,2,2,3,2,5,-3,100.0,166.66666666666666,2,02:27:00,2,01:12:00,37,42,39,47,Unknownx5,5,6|7|10|12|13,1:6|1:7|1:10|1:12|1:13,"[6, 7, 10, 12, 13]","['1:6', '1:7', '1:10', '1:12', '1:13']","['J. Johnson', 'S. Pipes Jr', 'M. Türen', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
